,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_139.nii.gz,0.809274731,0.862570736,0.998716018,0.761055635,0.998073578,0.238944365,0.001283982,0.761055635,0.999348015,0.808639636,0.988561651,0.829382044,0.930643377,0.808639636
MRI_182.nii.gz,0.123307452,0.206123565,0.972675503,0.096456441,0.961978912,0.903543559,0.027324497,0.096456441,0.988581629,0.131416122,0.798193593,0.153698759,0.589399534,0.131416122
MRI_543.nii.gz,0.963544182,0.94067238,0.999802013,0.988227147,0.998775482,0.011772853,0.000197987,0.988227147,0.998952725,0.96386356,0.998220937,0.954451207,0.970237196,0.96386356
MRI_864.nii.gz,0.932826919,0.893483709,0.999857992,0.974709501,0.999210358,0.025290499,0.000142008,0.974709501,0.999347862,0.932330827,0.998723375,0.916393548,0.94667085,0.932330827
MRI_460.nii.gz,0.933745124,0.964232489,0.999478532,0.904895105,0.999298096,0.095104895,0.000521468,0.904895105,0.99981589,0.933621934,0.995326282,0.945629933,0.98185551,0.933621934
MRI_651.nii.gz,0.949163403,0.965517241,0.999831744,0.933333333,0.99974823,0.066666667,0.000168256,0.933333333,0.999915865,0.949152542,0.99848773,0.955631399,0.982674493,0.949152542
MRI_102.nii.gz,,0.909625839,0.996328734,0.9401732,0.991157532,0.0598268,0.003671266,0.9401732,0.994279746,0.924647292,0.967901351,0.918579567,0.952977287,0.924647292
MRI_237.nii.gz,0.697996169,0.493868718,0.999957362,0.994673123,0.991928101,0.005326877,4.26E-05,0.994673123,0.991906305,0.660025707,0.999616388,0.58173785,0.74691304,0.660025707
MRI_266.nii.gz,0.959608278,0.981086761,0.999188603,0.939620472,0.998958588,0.060379528,0.000811397,0.939620472,0.999756443,0.959906007,0.992744527,0.968267607,0.990137682,0.959906007
MRI_369.nii.gz,0.662647044,0.455332303,0.999815412,0.992253284,0.972938538,0.007746716,0.000184588,0.992253284,0.972490886,0.624218667,0.99834116,0.543572522,0.727573858,0.624218667
MRI_044.nii.gz,0.868346121,0.847500959,0.997023447,0.897522675,0.99256134,0.102477325,0.002976553,0.897522675,0.995317106,0.871794872,0.973834094,0.861912067,0.922262203,0.871794872
MRI_391.nii.gz,-0.004302879,0,0.997036593,0,0.990825653,1,0.002963407,0,0.9937522,0,0.973946987,0,0.498518297,0
MRI_144.nii.gz,0.862793451,0.993563958,0.996857405,0.751673767,0.996826172,0.248326233,0.003142595,0.751673767,0.99993819,0.855855856,0.97241027,0.906089508,0.995210681,0.855855856
MRI_472.nii.gz,0.972259357,0.979539091,0.999378643,0.966015293,0.999027252,0.033984707,0.000621357,0.966015293,0.999630976,0.972730189,0.994435449,0.975442359,0.989458867,0.972730189
MRI_500.nii.gz,0.973340331,0.998902305,0.997554944,0.950811767,0.997615814,0.049188233,0.002445056,0.950811767,0.999947938,0.974263949,0.978416674,0.983971986,0.998228625,0.974263949
MRI_915.nii.gz,0.965052603,0.965957447,0.999649405,0.964837713,0.999317169,0.035162287,0.000350595,0.964837713,0.999660959,0.965397255,0.996853473,0.965621254,0.982803426,0.965397255
MRI_856.nii.gz,0.945444858,0.904749613,0.999856739,0.989553924,0.998451233,0.010446076,0.000143261,0.989553924,0.998573097,0.945253506,0.998712128,0.928624417,0.952303176,0.945253506
MRI_384.nii.gz,0.948929586,0.929988331,0.999613476,0.969586375,0.998703003,0.030413625,0.000386524,0.969586375,0.999072844,0.949374628,0.996532006,0.941523922,0.964800904,0.949374628
MRI_544.nii.gz,0.965804277,0.953805111,0.999451028,0.979806721,0.998210907,0.020193279,0.000548972,0.979806721,0.998710871,0.966631092,0.995080854,0.961459528,0.976628069,0.966631092
MRI_668.nii.gz,0.883981781,0.826640548,0.999816179,0.946188341,0.999141693,0.053811659,0.000183821,0.946188341,0.999322493,0.882383691,0.998348037,0.859207981,0.913228364,0.882383691
MRI_462.nii.gz,0.964077195,0.997392438,0.998722538,0.933116487,0.998699188,0.066883513,0.001277462,0.933116487,0.999953348,0.964184434,0.988619155,0.977198697,0.998057488,0.964184434
MRI_509.nii.gz,0.964601063,0.978731343,0.999483551,0.951396445,0.999271393,0.048603555,0.000516449,0.951396445,0.999780251,0.964870333,0.995371081,0.970367356,0.989107447,0.964870333
MRI_076.nii.gz,0.468018734,0.639344262,0.991369936,0.349927641,0.988830566,0.650072359,0.008630064,0.349927641,0.99736363,0.452300786,0.927345527,0.512244725,0.815357099,0.452300786
MRI_755.nii.gz,0.749073149,1,0.998566859,0.561915888,0.998569489,0.438084112,0.001433141,0.561915888,1,0.719521316,0.987247934,0.810446504,0.999283429,0.719521316
MRI_771.nii.gz,0.910331806,0.91174562,0.999466622,0.909974093,0.998950958,0.090025907,0.000533378,0.909974093,0.999478127,0.910858995,0.995219991,0.911213438,0.955606121,0.910858995
MRI_043.nii.gz,0.899510008,0.982138576,0.993388547,0.830007091,0.993030548,0.169992909,0.006611453,0.830007091,0.99940937,0.899687037,0.943486038,0.930948675,0.987763561,0.899687037
MRI_858.nii.gz,0.969221353,0.958545918,0.999772208,0.980750408,0.999279022,0.019249592,0.000227792,0.980750408,0.999498223,0.969521045,0.9979536,0.965100973,0.979159063,0.969521045
MRI_875.nii.gz,0.855131229,0.998484848,0.999082162,0.733036707,0.999080658,0.266963293,0.000917838,0.733036707,0.999996172,0.845413727,0.991799669,0.90064234,0.998783505,0.845413727
MRI_512.nii.gz,0.971765337,0.971261787,0.999538205,0.973228346,0.99905777,0.026771654,0.000461795,0.973228346,0.999503296,0.972244072,0.995859141,0.97185092,0.985399996,0.972244072
MRI_014.nii.gz,0.958084115,0.957023671,0.998471227,0.962439024,0.996841431,0.037560976,0.001528773,0.962439024,0.998241324,0.959723709,0.986407287,0.958641867,0.977747449,0.959723709
MRI_720.nii.gz,0.966544951,0.975350907,0.998143416,0.960795886,0.997127533,0.039204114,0.001856584,0.960795886,0.998849303,0.968018688,0.98353529,0.970938307,0.986747162,0.968018688
MRI_058.nii.gz,0.848199102,0.970034247,0.998497946,0.74295082,0.998371124,0.25704918,0.001502054,0.74295082,0.999865704,0.841440772,0.986642031,0.88855776,0.984266096,0.841440772
